diag1_4,DIAGNOSIS_GROUP,label
N72X,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N730,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N731,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N732,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N733,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N734,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N735,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N736,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N738,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N739,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N740,1,Tuberculosis
N741,1,Tuberculosis
N742,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
N743,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
N744,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
N748,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N750,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N751,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N758,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N759,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N760,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N761,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N762,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N763,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N764,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N765,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N766,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N768,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N770,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N771,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N778,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N800,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N801,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N802,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N803,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N804,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N805,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N806,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N808,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N809,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N810,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N811,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N812,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N813,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N814,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N815,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N816,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N818,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N819,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N820,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N821,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N822,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N823,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N824,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N825,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N828,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N829,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N830,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N831,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N832,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N833,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N834,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N835,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N836,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N837,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N838,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N839,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N840,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N841,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N842,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N843,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N848,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N849,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N850,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N851,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N852,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N853,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N854,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N855,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N856,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N857,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N858,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N859,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N86X,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N870,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N871,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N872,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N879,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N880,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N881,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N882,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N883,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N884,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N888,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N889,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N890,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N891,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N892,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N893,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N894,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N895,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N896,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N897,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N898,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N899,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N900,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N901,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N902,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N903,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N904,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N905,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N906,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N907,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N908,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N909,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N910,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N911,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N912,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N913,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N914,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N915,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N920,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N921,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N922,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N923,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N924,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N925,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N926,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N930,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N938,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N939,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N940,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N941,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N942,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N943,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N944,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N945,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N946,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N948,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N949,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N950,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N951,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N952,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N953,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N958,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N959,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N96X,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
N970,106,"Female infertility, Contraceptive & procreative management, Spontaneous abortion, Induced abortion, Postabortion complications, Ectopic pregnancy, Other complications of pregnancy, Hemorrhage during pregnancy; abruption placenta; placenta previa, Hypertension complicating pregnancy; childbirth; or the puerperium, Early or threatened labor, Prolonged pregnancy,  Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium, Malposition; malpresentation, Fetopelvic disproportion; obstruction, Previous C-section, Fetal distress and abnormal forces of labour, Polyhydramnios and other problems of amniotic cavity, Umbilical cord complication, OB-related trauma to perineum and vulva, Forceps delivery, Other complications of birth; puerperium affecting management of mother, Normal pregnancy and/or delivery, Livebirths"
N971,106,"Female infertility, Contraceptive & procreative management, Spontaneous abortion, Induced abortion, Postabortion complications, Ectopic pregnancy, Other complications of pregnancy, Hemorrhage during pregnancy; abruption placenta; placenta previa, Hypertension complicating pregnancy; childbirth; or the puerperium, Early or threatened labor, Prolonged pregnancy,  Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium, Malposition; malpresentation, Fetopelvic disproportion; obstruction, Previous C-section, Fetal distress and abnormal forces of labour, Polyhydramnios and other problems of amniotic cavity, Umbilical cord complication, OB-related trauma to perineum and vulva, Forceps delivery, Other complications of birth; puerperium affecting management of mother, Normal pregnancy and/or delivery, Livebirths"
N972,106,"Female infertility, Contraceptive & procreative management, Spontaneous abortion, Induced abortion, Postabortion complications, Ectopic pregnancy, Other complications of pregnancy, Hemorrhage during pregnancy; abruption placenta; placenta previa, Hypertension complicating pregnancy; childbirth; or the puerperium, Early or threatened labor, Prolonged pregnancy,  Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium, Malposition; malpresentation, Fetopelvic disproportion; obstruction, Previous C-section, Fetal distress and abnormal forces of labour, Polyhydramnios and other problems of amniotic cavity, Umbilical cord complication, OB-related trauma to perineum and vulva, Forceps delivery, Other complications of birth; puerperium affecting management of mother, Normal pregnancy and/or delivery, Livebirths"
N973,106,"Female infertility, Contraceptive & procreative management, Spontaneous abortion, Induced abortion, Postabortion complications, Ectopic pregnancy, Other complications of pregnancy, Hemorrhage during pregnancy; abruption placenta; placenta previa, Hypertension complicating pregnancy; childbirth; or the puerperium, Early or threatened labor, Prolonged pregnancy,  Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium, Malposition; malpresentation, Fetopelvic disproportion; obstruction, Previous C-section, Fetal distress and abnormal forces of labour, Polyhydramnios and other problems of amniotic cavity, Umbilical cord complication, OB-related trauma to perineum and vulva, Forceps delivery, Other complications of birth; puerperium affecting management of mother, Normal pregnancy and/or delivery, Livebirths"
N974,106,"Female infertility, Contraceptive & procreative management, Spontaneous abortion, Induced abortion, Postabortion complications, Ectopic pregnancy, Other complications of pregnancy, Hemorrhage during pregnancy; abruption placenta; placenta previa, Hypertension complicating pregnancy; childbirth; or the puerperium, Early or threatened labor, Prolonged pregnancy,  Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium, Malposition; malpresentation, Fetopelvic disproportion; obstruction, Previous C-section, Fetal distress and abnormal forces of labour, Polyhydramnios and other problems of amniotic cavity, Umbilical cord complication, OB-related trauma to perineum and vulva, Forceps delivery, Other complications of birth; puerperium affecting management of mother, Normal pregnancy and/or delivery, Livebirths"
N978,106,"Female infertility, Contraceptive & procreative management, Spontaneous abortion, Induced abortion, Postabortion complications, Ectopic pregnancy, Other complications of pregnancy, Hemorrhage during pregnancy; abruption placenta; placenta previa, Hypertension complicating pregnancy; childbirth; or the puerperium, Early or threatened labor, Prolonged pregnancy,  Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium, Malposition; malpresentation, Fetopelvic disproportion; obstruction, Previous C-section, Fetal distress and abnormal forces of labour, Polyhydramnios and other problems of amniotic cavity, Umbilical cord complication, OB-related trauma to perineum and vulva, Forceps delivery, Other complications of birth; puerperium affecting management of mother, Normal pregnancy and/or delivery, Livebirths"
N979,106,"Female infertility, Contraceptive & procreative management, Spontaneous abortion, Induced abortion, Postabortion complications, Ectopic pregnancy, Other complications of pregnancy, Hemorrhage during pregnancy; abruption placenta; placenta previa, Hypertension complicating pregnancy; childbirth; or the puerperium, Early or threatened labor, Prolonged pregnancy,  Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium, Malposition; malpresentation, Fetopelvic disproportion; obstruction, Previous C-section, Fetal distress and abnormal forces of labour, Polyhydramnios and other problems of amniotic cavity, Umbilical cord complication, OB-related trauma to perineum and vulva, Forceps delivery, Other complications of birth; puerperium affecting management of mother, Normal pregnancy and/or delivery, Livebirths"
N980,129,Complication of surgical procedures or medical care
N981,129,Complication of surgical procedures or medical care
N982,129,Complication of surgical procedures or medical care
